Size,Ntrial,TestAcc,TrainAcc,ConfMatrix,Config
0.3,0,0.6846846846846847,0.723404255319149,[[42 12] [23 34]],1e-09
0.3,0,0.6666666666666666,0.7446808510638298,[[43 11] [26 31]],1e-08
0.3,0,0.6846846846846847,0.723404255319149,[[46  8] [27 30]],1e-07
0.3,0,0.7027027027027027,0.723404255319149,[[47  7] [26 31]],1e-06
0.3,0,0.7207207207207207,0.7446808510638298,[[50  4] [27 30]],1e-05
0.3,0,0.7117117117117117,0.723404255319149,[[49  5] [27 30]],0.0001
0.3,1,0.6756756756756757,0.6382978723404256,[[42 11] [25 33]],1e-09
0.3,1,0.6936936936936937,0.5957446808510638,[[46  7] [27 31]],1e-08
0.3,1,0.6936936936936937,0.6170212765957447,[[46  7] [27 31]],1e-07
0.3,1,0.6576576576576577,0.6170212765957447,[[43 10] [28 30]],1e-06
0.3,1,0.6306306306306306,0.6382978723404256,[[43 10] [31 27]],1e-05
0.3,1,0.6306306306306306,0.6170212765957447,[[43 10] [31 27]],0.0001
0.3,2,0.5495495495495496,0.6382978723404256,[[ 4 48] [ 2 57]],1e-09
0.3,2,0.5315315315315315,0.6170212765957447,[[ 2 50] [ 2 57]],1e-08
0.3,2,0.5495495495495496,0.6170212765957447,[[ 2 50] [ 0 59]],1e-07
0.3,2,0.5585585585585585,0.6170212765957447,[[ 5 47] [ 2 57]],1e-06
0.3,2,0.6576576576576577,0.7021276595744681,[[21 31] [ 7 52]],1e-05
0.3,2,0.6756756756756757,0.7021276595744681,[[33 19] [17 42]],0.0001
0.3,3,0.6306306306306306,0.723404255319149,[[38 13] [28 32]],1e-09
0.3,3,0.6306306306306306,0.723404255319149,[[38 13] [28 32]],1e-08
0.3,3,0.6306306306306306,0.7446808510638298,[[38 13] [28 32]],1e-07
0.3,3,0.6036036036036037,0.7659574468085106,[[38 13] [31 29]],1e-06
0.3,3,0.6216216216216216,0.7659574468085106,[[38 13] [29 31]],1e-05
0.3,3,0.6216216216216216,0.7659574468085106,[[38 13] [29 31]],0.0001
0.3,4,0.5135135135135135,0.6382978723404256,[[ 3 51] [ 3 54]],1e-09
0.3,4,0.5225225225225225,0.6382978723404256,[[ 3 51] [ 2 55]],1e-08
0.3,4,0.5135135135135135,0.6170212765957447,[[ 0 54] [ 0 57]],1e-07
0.3,4,0.6126126126126126,0.7021276595744681,[[14 40] [ 3 54]],1e-06
0.3,4,0.6666666666666666,0.7446808510638298,[[32 22] [15 42]],1e-05
0.3,4,0.6846846846846847,0.6595744680851063,[[42 12] [23 34]],0.0001
0.3,5,0.6396396396396397,0.723404255319149,[[45  7] [33 26]],1e-09
0.3,5,0.6936936936936937,0.7659574468085106,[[43  9] [25 34]],1e-08
0.3,5,0.7117117117117117,0.7446808510638298,[[45  7] [25 34]],1e-07
0.3,5,0.6756756756756757,0.8085106382978723,[[39 13] [23 36]],1e-06
0.3,5,0.6756756756756757,0.8297872340425532,[[38 14] [22 37]],1e-05
0.3,5,0.6756756756756757,0.8297872340425532,[[38 14] [22 37]],0.0001
0.3,6,0.6756756756756757,0.7021276595744681,[[49  6] [30 26]],1e-09
0.3,6,0.6936936936936937,0.723404255319149,[[51  4] [30 26]],1e-08
0.3,6,0.7027027027027027,0.723404255319149,[[51  4] [29 27]],1e-07
0.3,6,0.6666666666666666,0.6595744680851063,[[47  8] [29 27]],1e-06
0.3,6,0.6936936936936937,0.6382978723404256,[[48  7] [27 29]],1e-05
0.3,6,0.7117117117117117,0.6382978723404256,[[48  7] [25 31]],0.0001
0.3,7,0.6756756756756757,0.7021276595744681,[[40 11] [25 35]],1e-09
0.3,7,0.6936936936936937,0.723404255319149,[[41 10] [24 36]],1e-08
0.3,7,0.7027027027027027,0.723404255319149,[[43  8] [25 35]],1e-07
