Size,Ntrial,AvgTestAcc,AvgTrainAcc,AvgConfMatrix,Config
0.3,0,0.5099099099099099,0.8851063829787233,[[13.  41. ] [13.4 43.6]],None_0.1_0.1
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],None_0.1_0.2
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],None_0.1_0.30000000000000004
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],None_0.1_0.4
0.3,0,0.5135135135135135,0.5957446808510638,[[ 0. 54.] [ 0. 57.]],None_0.1_0.5
0.3,0,0.5315315315315315,0.8468085106382979,[[12.4 41.6] [10.4 46.6]],None_0.325_0.1
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],None_0.325_0.2
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],None_0.325_0.30000000000000004
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],None_0.325_0.4
0.3,0,0.5135135135135135,0.5957446808510638,[[ 0. 54.] [ 0. 57.]],None_0.325_0.5
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],None_0.55_0.1
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],None_0.55_0.2
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],None_0.55_0.30000000000000004
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],None_0.55_0.4
0.3,0,0.5135135135135135,0.5957446808510638,[[ 0. 54.] [ 0. 57.]],None_0.55_0.5
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],None_0.775_0.1
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],None_0.775_0.2
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],None_0.775_0.30000000000000004
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],None_0.775_0.4
0.3,0,0.5135135135135135,0.5957446808510638,[[ 0. 54.] [ 0. 57.]],None_0.775_0.5
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],None_1.0_0.1
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],None_1.0_0.2
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],None_1.0_0.30000000000000004
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],None_1.0_0.4
0.3,0,0.5135135135135135,0.5957446808510638,[[ 0. 54.] [ 0. 57.]],None_1.0_0.5
0.3,0,0.5099099099099099,0.8851063829787233,[[13.  41. ] [13.4 43.6]],5_0.1_0.1
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],5_0.1_0.2
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],5_0.1_0.30000000000000004
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],5_0.1_0.4
0.3,0,0.5135135135135135,0.5957446808510638,[[ 0. 54.] [ 0. 57.]],5_0.1_0.5
0.3,0,0.5315315315315315,0.8468085106382979,[[12.4 41.6] [10.4 46.6]],5_0.325_0.1
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],5_0.325_0.2
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],5_0.325_0.30000000000000004
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],5_0.325_0.4
0.3,0,0.5135135135135135,0.5957446808510638,[[ 0. 54.] [ 0. 57.]],5_0.325_0.5
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],5_0.55_0.1
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],5_0.55_0.2
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],5_0.55_0.30000000000000004
