Size,Ntrial,TestAcc,TrainAcc,ConfMatrix,Config
3,0,0.6931118625229435,0.7178614840902976,[[35.          6.33333333] [20.66666667 26.        ]],1e-09
3,0,0.7081792352036443,0.7197122557292049,[[34.66666667  6.66666667] [19.         27.66666667]],1e-08
3,0,0.7119671139915231,0.7215846723897571,[[35.          6.33333333] [19.         27.66666667]],1e-07
3,0,0.7234168496276207,0.7330133661065864,[[36.          5.33333333] [19.         27.66666667]],1e-06
3,0,0.7232872115185172,0.734875204832832,[[36.66666667  4.66666667] [19.66666667 27.        ]],1e-05
3,0,0.7120086960265185,0.7235221464035023,[[37.33333333  4.        ] [21.33333333 25.33333333]],0.0001
3,1,0.6931118625229435,0.7178614840902976,[[35.          6.33333333] [20.66666667 26.        ]],1e-09
3,1,0.7081792352036443,0.7197122557292049,[[34.66666667  6.66666667] [19.         27.66666667]],1e-08
3,1,0.7119671139915231,0.7215846723897571,[[35.          6.33333333] [19.         27.66666667]],1e-07
3,1,0.7234168496276207,0.7330133661065864,[[36.          5.33333333] [19.         27.66666667]],1e-06
3,1,0.7232872115185172,0.734875204832832,[[36.66666667  4.66666667] [19.66666667 27.        ]],1e-05
3,1,0.7120086960265185,0.7235221464035023,[[37.33333333  4.        ] [21.33333333 25.33333333]],0.0001
3,2,0.6931118625229435,0.7178614840902976,[[35.          6.33333333] [20.66666667 26.        ]],1e-09
3,2,0.7081792352036443,0.7197122557292049,[[34.66666667  6.66666667] [19.         27.66666667]],1e-08
3,2,0.7119671139915231,0.7215846723897571,[[35.          6.33333333] [19.         27.66666667]],1e-07
3,2,0.7234168496276207,0.7330133661065864,[[36.          5.33333333] [19.         27.66666667]],1e-06
3,2,0.7232872115185172,0.734875204832832,[[36.66666667  4.66666667] [19.66666667 27.        ]],1e-05
3,2,0.7120086960265185,0.7235221464035023,[[37.33333333  4.        ] [21.33333333 25.33333333]],0.0001
3,3,0.6931118625229435,0.7178614840902976,[[35.          6.33333333] [20.66666667 26.        ]],1e-09
3,3,0.7081792352036443,0.7197122557292049,[[34.66666667  6.66666667] [19.         27.66666667]],1e-08
3,3,0.7119671139915231,0.7215846723897571,[[35.          6.33333333] [19.         27.66666667]],1e-07
3,3,0.7234168496276207,0.7330133661065864,[[36.          5.33333333] [19.         27.66666667]],1e-06
3,3,0.7232872115185172,0.734875204832832,[[36.66666667  4.66666667] [19.66666667 27.        ]],1e-05
3,3,0.7120086960265185,0.7235221464035023,[[37.33333333  4.        ] [21.33333333 25.33333333]],0.0001
3,4,0.6931118625229435,0.7178614840902976,[[35.          6.33333333] [20.66666667 26.        ]],1e-09
3,4,0.7081792352036443,0.7197122557292049,[[34.66666667  6.66666667] [19.         27.66666667]],1e-08
3,4,0.7119671139915231,0.7215846723897571,[[35.          6.33333333] [19.         27.66666667]],1e-07
3,4,0.7234168496276207,0.7330133661065864,[[36.          5.33333333] [19.         27.66666667]],1e-06
3,4,0.7232872115185172,0.734875204832832,[[36.66666667  4.66666667] [19.66666667 27.        ]],1e-05
3,4,0.7120086960265185,0.7235221464035023,[[37.33333333  4.        ] [21.33333333 25.33333333]],0.0001
3,5,0.6931118625229435,0.7178614840902976,[[35.          6.33333333] [20.66666667 26.        ]],1e-09
3,5,0.7081792352036443,0.7197122557292049,[[34.66666667  6.66666667] [19.         27.66666667]],1e-08
3,5,0.7119671139915231,0.7215846723897571,[[35.          6.33333333] [19.         27.66666667]],1e-07
3,5,0.7234168496276207,0.7330133661065864,[[36.          5.33333333] [19.         27.66666667]],1e-06
3,5,0.7232872115185172,0.734875204832832,[[36.66666667  4.66666667] [19.66666667 27.        ]],1e-05
3,5,0.7120086960265185,0.7235221464035023,[[37.33333333  4.        ] [21.33333333 25.33333333]],0.0001
3,6,0.6931118625229435,0.7178614840902976,[[35.          6.33333333] [20.66666667 26.        ]],1e-09
3,6,0.7081792352036443,0.7197122557292049,[[34.66666667  6.66666667] [19.         27.66666667]],1e-08
3,6,0.7119671139915231,0.7215846723897571,[[35.          6.33333333] [19.         27.66666667]],1e-07
3,6,0.7234168496276207,0.7330133661065864,[[36.          5.33333333] [19.         27.66666667]],1e-06
3,6,0.7232872115185172,0.734875204832832,[[36.66666667  4.66666667] [19.66666667 27.        ]],1e-05
3,6,0.7120086960265185,0.7235221464035023,[[37.33333333  4.        ] [21.33333333 25.33333333]],0.0001
3,7,0.6931118625229435,0.7178614840902976,[[35.          6.33333333] [20.66666667 26.        ]],1e-09
3,7,0.7081792352036443,0.7197122557292049,[[34.66666667  6.66666667] [19.         27.66666667]],1e-08
3,7,0.7119671139915231,0.7215846723897571,[[35.          6.33333333] [19.         27.66666667]],1e-07
3,7,0.7234168496276207,0.7330133661065864,[[36.          5.33333333] [19.         27.66666667]],1e-06
3,7,0.7232872115185172,0.734875204832832,[[36.66666667  4.66666667] [19.66666667 27.        ]],1e-05
3,7,0.7120086960265185,0.7235221464035023,[[37.33333333  4.        ] [21.33333333 25.33333333]],0.0001
3,8,0.6931118625229435,0.7178614840902976,[[35.          6.33333333] [20.66666667 26.        ]],1e-09
3,8,0.7081792352036443,0.7197122557292049,[[34.66666667  6.66666667] [19.         27.66666667]],1e-08
3,8,0.7119671139915231,0.7215846723897571,[[35.          6.33333333] [19.         27.66666667]],1e-07
3,8,0.7234168496276207,0.7330133661065864,[[36.          5.33333333] [19.         27.66666667]],1e-06
3,8,0.7232872115185172,0.734875204832832,[[36.66666667  4.66666667] [19.66666667 27.        ]],1e-05
3,8,0.7120086960265185,0.7235221464035023,[[37.33333333  4.        ] [21.33333333 25.33333333]],0.0001
3,9,0.6931118625229435,0.7178614840902976,[[35.          6.33333333] [20.66666667 26.        ]],1e-09
3,9,0.7081792352036443,0.7197122557292049,[[34.66666667  6.66666667] [19.         27.66666667]],1e-08
3,9,0.7119671139915231,0.7215846723897571,[[35.          6.33333333] [19.         27.66666667]],1e-07
3,9,0.7234168496276207,0.7330133661065864,[[36.          5.33333333] [19.         27.66666667]],1e-06
