Size,Ntrial,AvgTestAcc,AvgTrainAcc,AvgConfMatrix,Config
0.3,0,0.6072072072072072,0.5787234042553191,[[33.6 20.4] [23.2 33.8]],identity_lbfgs_constant_(50,)
0.3,0,0.5531531531531532,0.5446808510638298,[[27.8 26.2] [23.4 33.6]],identity_lbfgs_constant_(50, 50)
0.3,0,0.6702702702702703,0.6127659574468085,[[47.   7. ] [29.6 27.4]],identity_lbfgs_constant_(100,)
0.3,0,0.6072072072072072,0.5787234042553191,[[33.6 20.4] [23.2 33.8]],identity_lbfgs_invscaling_(50,)
0.3,0,0.5531531531531532,0.5446808510638298,[[27.8 26.2] [23.4 33.6]],identity_lbfgs_invscaling_(50, 50)
0.3,0,0.6702702702702703,0.6127659574468085,[[47.   7. ] [29.6 27.4]],identity_lbfgs_invscaling_(100,)
0.3,0,0.6072072072072072,0.5787234042553191,[[33.6 20.4] [23.2 33.8]],identity_lbfgs_adaptive_(50,)
0.3,0,0.5531531531531532,0.5446808510638298,[[27.8 26.2] [23.4 33.6]],identity_lbfgs_adaptive_(50, 50)
0.3,0,0.6702702702702703,0.6127659574468085,[[47.   7. ] [29.6 27.4]],identity_lbfgs_adaptive_(100,)
0.3,0,0.4864864864864865,0.40425531914893614,[[54.  0.] [57.  0.]],identity_sgd_constant_(50,)
0.3,0,0.4864864864864865,0.40425531914893614,[[54.  0.] [57.  0.]],identity_sgd_constant_(50, 50)
0.3,0,0.4864864864864865,0.40425531914893614,[[54.  0.] [57.  0.]],identity_sgd_constant_(100,)
0.3,0,0.47567567567567565,0.5234042553191489,[[15.2 38.8] [19.4 37.6]],identity_sgd_invscaling_(50,)
0.3,0,0.4864864864864865,0.40425531914893614,[[54.  0.] [57.  0.]],identity_sgd_invscaling_(50, 50)
0.3,0,0.6252252252252252,0.5276595744680851,[[33.4 20.6] [21.  36. ]],identity_sgd_invscaling_(100,)
0.3,0,0.4864864864864865,0.40425531914893614,[[54.  0.] [57.  0.]],identity_sgd_adaptive_(50,)
0.3,0,0.4864864864864865,0.40425531914893614,[[54.  0.] [57.  0.]],identity_sgd_adaptive_(50, 50)
0.3,0,0.4864864864864865,0.40425531914893614,[[54.  0.] [57.  0.]],identity_sgd_adaptive_(100,)
0.3,0,0.5675675675675675,0.5787234042553191,[[14. 40.] [ 8. 49.]],identity_adam_constant_(50,)
0.3,0,0.5801801801801801,0.5702127659574469,[[23.4 30.6] [16.  41. ]],identity_adam_constant_(50, 50)
0.3,0,0.5945945945945946,0.5319148936170213,[[33.2 20.8] [24.2 32.8]],identity_adam_constant_(100,)
0.3,0,0.5675675675675675,0.5787234042553191,[[14. 40.] [ 8. 49.]],identity_adam_invscaling_(50,)
0.3,0,0.5801801801801801,0.5702127659574469,[[23.4 30.6] [16.  41. ]],identity_adam_invscaling_(50, 50)
0.3,0,0.5945945945945946,0.5319148936170213,[[33.2 20.8] [24.2 32.8]],identity_adam_invscaling_(100,)
0.3,0,0.5675675675675675,0.5787234042553191,[[14. 40.] [ 8. 49.]],identity_adam_adaptive_(50,)
