Size,Ntrial,TestAcc,TrainAcc,ConfMatrix,Config
0.3,0,0.7297297297297297,0.6808510638297872,[[46  8] [22 35]],1e-09
0.3,0,0.6936936936936937,0.6595744680851063,[[46  8] [26 31]],1e-08
0.3,0,0.7027027027027027,0.6808510638297872,[[48  6] [27 30]],1e-07
0.3,0,0.7117117117117117,0.7021276595744681,[[50  4] [28 29]],1e-06
0.3,0,0.7207207207207207,0.723404255319149,[[49  5] [26 31]],1e-05
0.3,0,0.7117117117117117,0.723404255319149,[[49  5] [27 30]],0.0001
0.3,1,0.6846846846846847,0.6382978723404256,[[44  9] [26 32]],1e-09
0.3,1,0.6936936936936937,0.6595744680851063,[[46  7] [27 31]],1e-08
0.3,1,0.6936936936936937,0.6382978723404256,[[46  7] [27 31]],1e-07
0.3,1,0.6576576576576577,0.6170212765957447,[[45  8] [30 28]],1e-06
0.3,1,0.6486486486486487,0.6170212765957447,[[45  8] [31 27]],1e-05
0.3,1,0.6396396396396397,0.6170212765957447,[[44  9] [31 27]],0.0001
0.3,2,0.5495495495495496,0.6382978723404256,[[ 4 48] [ 2 57]],1e-09
0.3,2,0.5405405405405406,0.6170212765957447,[[ 3 49] [ 2 57]],1e-08
0.3,2,0.5495495495495496,0.6170212765957447,[[ 2 50] [ 0 59]],1e-07
0.3,2,0.5675675675675675,0.6170212765957447,[[ 5 47] [ 1 58]],1e-06
0.3,2,0.6036036036036037,0.7021276595744681,[[13 39] [ 5 54]],1e-05
0.3,2,0.6756756756756757,0.723404255319149,[[33 19] [17 42]],0.0001
0.3,3,0.6306306306306306,0.7446808510638298,[[38 13] [28 32]],1e-09
0.3,3,0.6306306306306306,0.7446808510638298,[[38 13] [28 32]],1e-08
0.3,3,0.6306306306306306,0.7659574468085106,[[38 13] [28 32]],1e-07
0.3,3,0.6126126126126126,0.7659574468085106,[[38 13] [30 30]],1e-06
0.3,3,0.6216216216216216,0.7659574468085106,[[38 13] [29 31]],1e-05
0.3,3,0.6306306306306306,0.7659574468085106,[[38 13] [28 32]],0.0001
0.3,4,0.5135135135135135,0.6382978723404256,[[ 3 51] [ 3 54]],1e-09
0.3,4,0.5135135135135135,0.6382978723404256,[[ 2 52] [ 2 55]],1e-08
0.3,4,0.5135135135135135,0.6170212765957447,[[ 0 54] [ 0 57]],1e-07
0.3,4,0.5585585585585585,0.7021276595744681,[[ 6 48] [ 1 56]],1e-06
0.3,4,0.6216216216216216,0.723404255319149,[[24 30] [12 45]],1e-05
0.3,4,0.6846846846846847,0.6595744680851063,[[42 12] [23 34]],0.0001
0.3,5,0.6396396396396397,0.7021276595744681,[[45  7] [33 26]],1e-09
0.3,5,0.6936936936936937,0.7872340425531915,[[44  8] [26 33]],1e-08
0.3,5,0.7117117117117117,0.7659574468085106,[[45  7] [25 34]],1e-07
0.3,5,0.6756756756756757,0.7872340425531915,[[40 12] [24 35]],1e-06
0.3,5,0.6756756756756757,0.8297872340425532,[[38 14] [22 37]],1e-05
0.3,5,0.6756756756756757,0.8297872340425532,[[38 14] [22 37]],0.0001
0.3,6,0.6846846846846847,0.7021276595744681,[[50  5] [30 26]],1e-09
0.3,6,0.7027027027027027,0.7021276595744681,[[51  4] [29 27]],1e-08
0.3,6,0.6936936936936937,0.7021276595744681,[[51  4] [30 26]],1e-07
0.3,6,0.7117117117117117,0.6595744680851063,[[52  3] [29 27]],1e-06
0.3,6,0.6936936936936937,0.6170212765957447,[[48  7] [27 29]],1e-05
0.3,6,0.7027027027027027,0.6382978723404256,[[48  7] [26 30]],0.0001
0.3,7,0.6846846846846847,0.723404255319149,[[41 10] [25 35]],1e-09
0.3,7,0.6936936936936937,0.723404255319149,[[42  9] [25 35]],1e-08
0.3,7,0.7117117117117117,0.7659574468085106,[[44  7] [25 35]],1e-07
0.3,7,0.7387387387387387,0.7659574468085106,[[44  7] [22 38]],1e-06
0.3,7,0.7387387387387387,0.7021276595744681,[[42  9] [20 40]],1e-05
0.3,7,0.7387387387387387,0.7021276595744681,[[41 10] [19 41]],0.0001
0.3,8,0.5855855855855856,0.6170212765957447,[[10 43] [ 3 55]],1e-09
0.3,8,0.5495495495495496,0.6170212765957447,[[ 7 46] [ 4 54]],1e-08
0.3,8,0.5585585585585585,0.6170212765957447,[[ 7 46] [ 3 55]],1e-07
0.3,8,0.5675675675675675,0.6170212765957447,[[ 9 44] [ 4 54]],1e-06
0.3,8,0.7297297297297297,0.5957446808510638,[[30 23] [ 7 51]],1e-05
0.3,8,0.7297297297297297,0.5957446808510638,[[40 13] [17 41]],0.0001
0.3,9,0.5945945945945946,0.8085106382978723,[[33 19] [26 33]],1e-09
0.3,9,0.6126126126126126,0.7659574468085106,[[36 16] [27 32]],1e-08
0.3,9,0.6126126126126126,0.8297872340425532,[[36 16] [27 32]],1e-07
0.3,9,0.6126126126126126,0.8085106382978723,[[36 16] [27 32]],1e-06
0.3,9,0.5945945945945946,0.7659574468085106,[[34 18] [27 32]],1e-05
0.3,9,0.6036036036036037,0.7659574468085106,[[34 18] [26 33]],0.0001
0.5,0,0.6835443037974683,0.7088607594936709,[[31  6] [19 23]],1e-09
0.5,0,0.6835443037974683,0.6962025316455697,[[31  6] [19 23]],1e-08
0.5,0,0.6835443037974683,0.7215189873417721,[[33  4] [21 21]],1e-07
0.5,0,0.6708860759493671,0.7468354430379747,[[33  4] [22 20]],1e-06
