Size,Ntrial,TestAcc,TrainAcc,ConfMatrix,Config
0.3,0,0.7081081081081081,0.6962025316455697,[[78 13] [41 53]],1e-09
0.3,0,0.7189189189189189,0.7215189873417721,[[79 12] [40 54]],1e-08
0.3,0,0.7297297297297297,0.7341772151898734,[[80 11] [39 55]],1e-07
0.3,0,0.7297297297297297,0.7341772151898734,[[81 10] [40 54]],1e-06
0.3,0,0.7297297297297297,0.7088607594936709,[[81 10] [40 54]],1e-05
0.3,0,0.7297297297297297,0.759493670886076,[[82  9] [41 53]],0.0001
0.3,1,0.6864864864864865,0.7468354430379747,[[82  3] [55 45]],1e-09
0.3,1,0.6864864864864865,0.7468354430379747,[[82  3] [55 45]],1e-08
0.3,1,0.6864864864864865,0.7468354430379747,[[82  3] [55 45]],1e-07
0.3,1,0.6972972972972973,0.7468354430379747,[[83  2] [54 46]],1e-06
0.3,1,0.6810810810810811,0.7468354430379747,[[83  2] [57 43]],1e-05
0.3,1,0.6864864864864865,0.7341772151898734,[[83  2] [56 44]],0.0001
0.3,2,0.6864864864864865,0.7848101265822784,[[82  7] [51 45]],1e-09
0.3,2,0.7027027027027027,0.7848101265822784,[[82  7] [48 48]],1e-08
0.3,2,0.7027027027027027,0.7848101265822784,[[82  7] [48 48]],1e-07
0.3,2,0.7081081081081081,0.7848101265822784,[[83  6] [48 48]],1e-06
0.3,2,0.6756756756756757,0.7848101265822784,[[78 11] [49 47]],1e-05
0.3,2,0.6864864864864865,0.810126582278481,[[78 11] [47 49]],0.0001
0.3,3,0.654054054054054,0.759493670886076,[[74 10] [54 47]],1e-09
0.3,3,0.6594594594594595,0.7721518987341772,[[74 10] [53 48]],1e-08
0.3,3,0.6648648648648648,0.7974683544303798,[[76  8] [54 47]],1e-07
0.3,3,0.6648648648648648,0.7974683544303798,[[78  6] [56 45]],1e-06
0.3,3,0.6810810810810811,0.810126582278481,[[78  6] [53 48]],1e-05
0.3,3,0.6702702702702703,0.8354430379746836,[[74 10] [51 50]],0.0001
0.3,4,0.654054054054054,0.7088607594936709,[[81  4] [60 40]],1e-09
0.3,4,0.6648648648648648,0.7215189873417721,[[81  4] [58 42]],1e-08
0.3,4,0.6648648648648648,0.7341772151898734,[[81  4] [58 42]],1e-07
0.3,4,0.6810810810810811,0.7215189873417721,[[82  3] [56 44]],1e-06
0.3,4,0.6864864864864865,0.6962025316455697,[[82  3] [55 45]],1e-05
0.3,4,0.6702702702702703,0.7088607594936709,[[79  6] [55 45]],0.0001
0.3,5,0.6702702702702703,0.7974683544303798,[[76  8] [53 48]],1e-09
0.3,5,0.6702702702702703,0.8227848101265823,[[77  7] [54 47]],1e-08
0.3,5,0.6756756756756757,0.810126582278481,[[78  6] [54 47]],1e-07
0.3,5,0.6864864864864865,0.7974683544303798,[[79  5] [53 48]],1e-06
0.3,5,0.6972972972972973,0.7341772151898734,[[76  8] [48 53]],1e-05
0.3,5,0.6972972972972973,0.7468354430379747,[[75  9] [47 54]],0.0001
0.3,6,0.7081081081081081,0.7721518987341772,[[69 16] [38 62]],1e-09
0.3,6,0.7135135135135136,0.7721518987341772,[[67 18] [35 65]],1e-08
0.3,6,0.7081081081081081,0.7721518987341772,[[67 18] [36 64]],1e-07
0.3,6,0.7027027027027027,0.7848101265822784,[[68 17] [38 62]],1e-06
0.3,6,0.7513513513513513,0.7468354430379747,[[73 12] [34 66]],1e-05
0.3,6,0.7189189189189189,0.759493670886076,[[73 12] [40 60]],0.0001
0.3,7,0.6648648648648648,0.7974683544303798,[[76 15] [47 47]],1e-09
0.3,7,0.6702702702702703,0.7721518987341772,[[74 17] [44 50]],1e-08
0.3,7,0.6810810810810811,0.7848101265822784,[[74 17] [42 52]],1e-07
0.3,7,0.6972972972972973,0.7848101265822784,[[77 14] [42 52]],1e-06
0.3,7,0.7297297297297297,0.7848101265822784,[[79 12] [38 56]],1e-05
0.3,7,0.7297297297297297,0.7848101265822784,[[77 14] [36 58]],0.0001
0.3,8,0.6594594594594595,0.7088607594936709,[[73 11] [52 49]],1e-09
0.3,8,0.6648648648648648,0.7341772151898734,[[72 12] [50 51]],1e-08
0.3,8,0.6864864864864865,0.7341772151898734,[[74 10] [48 53]],1e-07
0.3,8,0.6972972972972973,0.7468354430379747,[[75  9] [47 54]],1e-06
0.3,8,0.6918918918918919,0.7215189873417721,[[74 10] [47 54]],1e-05
0.3,8,0.6756756756756757,0.7468354430379747,[[71 13] [47 54]],0.0001
0.3,9,0.6972972972972973,0.7088607594936709,[[82  5] [51 47]],1e-09
0.3,9,0.7135135135135136,0.7215189873417721,[[81  6] [47 51]],1e-08
0.3,9,0.7135135135135136,0.7341772151898734,[[82  5] [48 50]],1e-07
0.3,9,0.7081081081081081,0.7341772151898734,[[82  5] [49 49]],1e-06
0.3,9,0.7081081081081081,0.7341772151898734,[[79  8] [46 52]],1e-05
0.3,9,0.7027027027027027,0.7215189873417721,[[76 11] [44 54]],0.0001
0.5,0,0.7045454545454546,0.6666666666666666,[[56  6] [33 37]],1e-09
0.5,0,0.7272727272727273,0.6818181818181818,[[57  5] [31 39]],1e-08
0.5,0,0.7196969696969697,0.6893939393939394,[[57  5] [32 38]],1e-07
0.5,0,0.7272727272727273,0.696969696969697,[[59  3] [33 37]],1e-06
0.5,0,0.7121212121212122,0.6818181818181818,[[59  3] [35 35]],1e-05
0.5,0,0.7196969696969697,0.6893939393939394,[[60  2] [35 35]],0.0001
0.5,1,0.696969696969697,0.696969696969697,[[61  3] [37 31]],1e-09
0.5,1,0.696969696969697,0.696969696969697,[[61  3] [37 31]],1e-08
0.5,1,0.7121212121212122,0.7045454545454546,[[62  2] [36 32]],1e-07
0.5,1,0.7121212121212122,0.7121212121212122,[[62  2] [36 32]],1e-06
0.5,1,0.6893939393939394,0.7045454545454546,[[62  2] [39 29]],1e-05
0.5,1,0.6818181818181818,0.7272727272727273,[[59  5] [37 31]],0.0001
0.5,2,0.6590909090909091,0.7348484848484849,[[58  3] [42 29]],1e-09
0.5,2,0.6590909090909091,0.7272727272727273,[[58  3] [42 29]],1e-08
0.5,2,0.6742424242424242,0.7272727272727273,[[58  3] [40 31]],1e-07
0.5,2,0.6893939393939394,0.7272727272727273,[[59  2] [39 32]],1e-06
0.5,2,0.6742424242424242,0.7348484848484849,[[59  2] [41 30]],1e-05
0.5,2,0.6742424242424242,0.7424242424242424,[[57  4] [39 32]],0.0001
0.5,3,0.6439393939393939,0.7803030303030303,[[43 13] [34 42]],1e-09
0.5,3,0.6439393939393939,0.7803030303030303,[[42 14] [33 43]],1e-08
0.5,3,0.6439393939393939,0.7878787878787878,[[43 13] [34 42]],1e-07
0.5,3,0.6666666666666666,0.7954545454545454,[[44 12] [32 44]],1e-06
0.5,3,0.696969696969697,0.7878787878787878,[[45 11] [29 47]],1e-05
0.5,3,0.6893939393939394,0.7803030303030303,[[47  9] [32 44]],0.0001
0.5,4,0.75,0.7045454545454546,[[55  6] [27 44]],1e-09
0.5,4,0.7575757575757576,0.7121212121212122,[[55  6] [26 45]],1e-08
0.5,4,0.7575757575757576,0.7121212121212122,[[55  6] [26 45]],1e-07
0.5,4,0.7651515151515151,0.7045454545454546,[[55  6] [25 46]],1e-06
0.5,4,0.75,0.7272727272727273,[[55  6] [27 44]],1e-05
0.5,4,0.7348484848484849,0.7196969696969697,[[56  5] [30 41]],0.0001
0.5,5,0.6818181818181818,0.7272727272727273,[[58  5] [37 32]],1e-09
0.5,5,0.696969696969697,0.7348484848484849,[[58  5] [35 34]],1e-08
