Size,Ntrial,AvgTestAcc,AvgTrainAcc,AvgConfMatrix,Config
0.3,0,0.6702702702702703,0.7848101265822784,[[57. 34.] [27. 67.]],None_0.1_0.1
0.3,0,0.6162162162162163,0.759493670886076,[[58. 33.] [38. 56.]],None_0.1_0.2
0.3,0,0.6378378378378379,0.7215189873417721,[[38. 53.] [14. 80.]],None_0.1_0.30000000000000004
0.3,0,0.6162162162162163,0.7215189873417721,[[59. 32.] [39. 55.]],None_0.1_0.4
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],None_0.1_0.5
0.3,0,0.6702702702702703,0.7848101265822784,[[57. 34.] [27. 67.]],None_0.325_0.1
0.3,0,0.6162162162162163,0.759493670886076,[[58. 33.] [38. 56.]],None_0.325_0.2
0.3,0,0.6378378378378379,0.7215189873417721,[[38. 53.] [14. 80.]],None_0.325_0.30000000000000004
0.3,0,0.6162162162162163,0.7215189873417721,[[59. 32.] [39. 55.]],None_0.325_0.4
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],None_0.325_0.5
0.3,0,0.7027027027027027,0.7468354430379747,[[81. 10.] [45. 49.]],None_0.55_0.1
0.3,0,0.6270270270270271,0.7215189873417721,[[39. 52.] [17. 77.]],None_0.55_0.2
0.3,0,0.6378378378378379,0.7215189873417721,[[38. 53.] [14. 80.]],None_0.55_0.30000000000000004
0.3,0,0.6162162162162163,0.7215189873417721,[[59. 32.] [39. 55.]],None_0.55_0.4
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],None_0.55_0.5
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],None_0.775_0.1
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],None_0.775_0.2
0.3,0,0.6864864864864865,0.7088607594936709,[[82.  9.] [49. 45.]],None_0.775_0.30000000000000004
0.3,0,0.6162162162162163,0.7215189873417721,[[59. 32.] [39. 55.]],None_0.775_0.4
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],None_0.775_0.5
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],None_1.0_0.1
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],None_1.0_0.2
0.3,0,0.6864864864864865,0.7088607594936709,[[82.  9.] [49. 45.]],None_1.0_0.30000000000000004
0.3,0,0.6162162162162163,0.7215189873417721,[[59. 32.] [39. 55.]],None_1.0_0.4
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],None_1.0_0.5
0.3,0,0.6702702702702703,0.7848101265822784,[[57. 34.] [27. 67.]],5_0.1_0.1
0.3,0,0.6162162162162163,0.759493670886076,[[58. 33.] [38. 56.]],5_0.1_0.2
0.3,0,0.6378378378378379,0.7215189873417721,[[38. 53.] [14. 80.]],5_0.1_0.30000000000000004
0.3,0,0.6162162162162163,0.7215189873417721,[[59. 32.] [39. 55.]],5_0.1_0.4
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],5_0.1_0.5
0.3,0,0.6702702702702703,0.7848101265822784,[[57. 34.] [27. 67.]],5_0.325_0.1
0.3,0,0.6162162162162163,0.759493670886076,[[58. 33.] [38. 56.]],5_0.325_0.2
0.3,0,0.6378378378378379,0.7215189873417721,[[38. 53.] [14. 80.]],5_0.325_0.30000000000000004
0.3,0,0.6162162162162163,0.7215189873417721,[[59. 32.] [39. 55.]],5_0.325_0.4
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],5_0.325_0.5
0.3,0,0.7027027027027027,0.7468354430379747,[[81. 10.] [45. 49.]],5_0.55_0.1
0.3,0,0.6270270270270271,0.7215189873417721,[[39. 52.] [17. 77.]],5_0.55_0.2
0.3,0,0.6378378378378379,0.7215189873417721,[[38. 53.] [14. 80.]],5_0.55_0.30000000000000004
0.3,0,0.6162162162162163,0.7215189873417721,[[59. 32.] [39. 55.]],5_0.55_0.4
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],5_0.55_0.5
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],5_0.775_0.1
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],5_0.775_0.2
0.3,0,0.6864864864864865,0.7088607594936709,[[82.  9.] [49. 45.]],5_0.775_0.30000000000000004
0.3,0,0.6162162162162163,0.7215189873417721,[[59. 32.] [39. 55.]],5_0.775_0.4
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],5_0.775_0.5
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],5_1.0_0.1
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],5_1.0_0.2
0.3,0,0.6864864864864865,0.7088607594936709,[[82.  9.] [49. 45.]],5_1.0_0.30000000000000004
0.3,0,0.6162162162162163,0.7215189873417721,[[59. 32.] [39. 55.]],5_1.0_0.4
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],5_1.0_0.5
0.3,0,0.6702702702702703,0.7848101265822784,[[57. 34.] [27. 67.]],10_0.1_0.1
0.3,0,0.6162162162162163,0.759493670886076,[[58. 33.] [38. 56.]],10_0.1_0.2
0.3,0,0.6378378378378379,0.7215189873417721,[[38. 53.] [14. 80.]],10_0.1_0.30000000000000004
0.3,0,0.6162162162162163,0.7215189873417721,[[59. 32.] [39. 55.]],10_0.1_0.4
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],10_0.1_0.5
0.3,0,0.6702702702702703,0.7848101265822784,[[57. 34.] [27. 67.]],10_0.325_0.1
0.3,0,0.6162162162162163,0.759493670886076,[[58. 33.] [38. 56.]],10_0.325_0.2
0.3,0,0.6378378378378379,0.7215189873417721,[[38. 53.] [14. 80.]],10_0.325_0.30000000000000004
0.3,0,0.6162162162162163,0.7215189873417721,[[59. 32.] [39. 55.]],10_0.325_0.4
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],10_0.325_0.5
0.3,0,0.7027027027027027,0.7468354430379747,[[81. 10.] [45. 49.]],10_0.55_0.1
0.3,0,0.6270270270270271,0.7215189873417721,[[39. 52.] [17. 77.]],10_0.55_0.2
0.3,0,0.6378378378378379,0.7215189873417721,[[38. 53.] [14. 80.]],10_0.55_0.30000000000000004
0.3,0,0.6162162162162163,0.7215189873417721,[[59. 32.] [39. 55.]],10_0.55_0.4
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],10_0.55_0.5
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],10_0.775_0.1
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],10_0.775_0.2
0.3,0,0.6864864864864865,0.7088607594936709,[[82.  9.] [49. 45.]],10_0.775_0.30000000000000004
0.3,0,0.6162162162162163,0.7215189873417721,[[59. 32.] [39. 55.]],10_0.775_0.4
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],10_0.775_0.5
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],10_1.0_0.1
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],10_1.0_0.2
0.3,0,0.6864864864864865,0.7088607594936709,[[82.  9.] [49. 45.]],10_1.0_0.30000000000000004
0.3,0,0.6162162162162163,0.7215189873417721,[[59. 32.] [39. 55.]],10_1.0_0.4
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],10_1.0_0.5
0.3,0,0.6702702702702703,0.7848101265822784,[[57. 34.] [27. 67.]],15_0.1_0.1
0.3,0,0.6162162162162163,0.759493670886076,[[58. 33.] [38. 56.]],15_0.1_0.2
0.3,0,0.6378378378378379,0.7215189873417721,[[38. 53.] [14. 80.]],15_0.1_0.30000000000000004
0.3,0,0.6162162162162163,0.7215189873417721,[[59. 32.] [39. 55.]],15_0.1_0.4
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],15_0.1_0.5
0.3,0,0.6702702702702703,0.7848101265822784,[[57. 34.] [27. 67.]],15_0.325_0.1
0.3,0,0.6162162162162163,0.759493670886076,[[58. 33.] [38. 56.]],15_0.325_0.2
0.3,0,0.6378378378378379,0.7215189873417721,[[38. 53.] [14. 80.]],15_0.325_0.30000000000000004
0.3,0,0.6162162162162163,0.7215189873417721,[[59. 32.] [39. 55.]],15_0.325_0.4
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],15_0.325_0.5
0.3,0,0.7027027027027027,0.7468354430379747,[[81. 10.] [45. 49.]],15_0.55_0.1
0.3,0,0.6270270270270271,0.7215189873417721,[[39. 52.] [17. 77.]],15_0.55_0.2
0.3,0,0.6378378378378379,0.7215189873417721,[[38. 53.] [14. 80.]],15_0.55_0.30000000000000004
0.3,0,0.6162162162162163,0.7215189873417721,[[59. 32.] [39. 55.]],15_0.55_0.4
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],15_0.55_0.5
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],15_0.775_0.1
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],15_0.775_0.2
0.3,0,0.6864864864864865,0.7088607594936709,[[82.  9.] [49. 45.]],15_0.775_0.30000000000000004
0.3,0,0.6162162162162163,0.7215189873417721,[[59. 32.] [39. 55.]],15_0.775_0.4
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],15_0.775_0.5
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],15_1.0_0.1
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],15_1.0_0.2
0.3,0,0.6864864864864865,0.7088607594936709,[[82.  9.] [49. 45.]],15_1.0_0.30000000000000004
0.3,0,0.6162162162162163,0.7215189873417721,[[59. 32.] [39. 55.]],15_1.0_0.4
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],15_1.0_0.5
0.3,0,0.6702702702702703,0.7848101265822784,[[57. 34.] [27. 67.]],20_0.1_0.1
0.3,0,0.6162162162162163,0.759493670886076,[[58. 33.] [38. 56.]],20_0.1_0.2
0.3,0,0.6378378378378379,0.7215189873417721,[[38. 53.] [14. 80.]],20_0.1_0.30000000000000004
0.3,0,0.6162162162162163,0.7215189873417721,[[59. 32.] [39. 55.]],20_0.1_0.4
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],20_0.1_0.5
0.3,0,0.6702702702702703,0.7848101265822784,[[57. 34.] [27. 67.]],20_0.325_0.1
0.3,0,0.6162162162162163,0.759493670886076,[[58. 33.] [38. 56.]],20_0.325_0.2
0.3,0,0.6378378378378379,0.7215189873417721,[[38. 53.] [14. 80.]],20_0.325_0.30000000000000004
0.3,0,0.6162162162162163,0.7215189873417721,[[59. 32.] [39. 55.]],20_0.325_0.4
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],20_0.325_0.5
0.3,0,0.7027027027027027,0.7468354430379747,[[81. 10.] [45. 49.]],20_0.55_0.1
0.3,0,0.6270270270270271,0.7215189873417721,[[39. 52.] [17. 77.]],20_0.55_0.2
0.3,0,0.6378378378378379,0.7215189873417721,[[38. 53.] [14. 80.]],20_0.55_0.30000000000000004
0.3,0,0.6162162162162163,0.7215189873417721,[[59. 32.] [39. 55.]],20_0.55_0.4
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],20_0.55_0.5
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],20_0.775_0.1
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],20_0.775_0.2
