Size,Ntrial,AvgTestAcc,AvgTrainAcc,AvgConfMatrix,Config
3,0,0.6170045084709943,0.622669418152469,22.0,identity_lbfgs_constant_(50,)
3,0,0.600223271067905,0.612476043730281,22.0,identity_lbfgs_constant_(50, 50)
3,0,0.6518478077951151,0.6476764986426004,22.0,identity_lbfgs_constant_(100,)
3,0,0.6170045084709943,0.622669418152469,22.0,identity_lbfgs_invscaling_(50,)
3,0,0.600223271067905,0.612476043730281,22.0,identity_lbfgs_invscaling_(50, 50)
3,0,0.6518478077951151,0.6476764986426004,22.0,identity_lbfgs_invscaling_(100,)
3,0,0.6170045084709943,0.622669418152469,22.0,identity_lbfgs_adaptive_(50,)
3,0,0.600223271067905,0.612476043730281,22.0,identity_lbfgs_adaptive_(50, 50)
3,0,0.6518478077951151,0.6476764986426004,22.0,identity_lbfgs_adaptive_(100,)
3,0,0.4696945236949111,0.46969629711155136,22.0,identity_sgd_constant_(50,)
3,0,0.4696945236949111,0.46969629711155136,22.0,identity_sgd_constant_(50, 50)
3,0,0.4696945236949111,0.46969629711155136,22.0,identity_sgd_constant_(100,)
3,0,0.6538005001585009,0.6462558270354881,22.0,identity_sgd_invscaling_(50,)
3,0,0.4696945236949111,0.46969629711155136,22.0,identity_sgd_invscaling_(50, 50)
3,0,0.6181996250768045,0.6268788123364395,22.0,identity_sgd_invscaling_(100,)
3,0,0.4696945236949111,0.46969629711155136,22.0,identity_sgd_adaptive_(50,)
3,0,0.4696945236949111,0.46969629711155136,22.0,identity_sgd_adaptive_(50, 50)
3,0,0.4696945236949111,0.46969629711155136,22.0,identity_sgd_adaptive_(100,)
3,0,0.5871469440628682,0.6076276811700541,22.0,identity_adam_constant_(50,)
3,0,0.606811626532665,0.5999550590652286,22.0,identity_adam_constant_(50, 50)
3,0,0.5981132518521127,0.6088519945214861,22.0,identity_adam_constant_(100,)
3,0,0.5871469440628682,0.6076276811700541,22.0,identity_adam_invscaling_(50,)
3,0,0.606811626532665,0.5999550590652286,22.0,identity_adam_invscaling_(50, 50)
3,0,0.5981132518521127,0.6088519945214861,22.0,identity_adam_invscaling_(100,)
3,0,0.5871469440628682,0.6076276811700541,22.0,identity_adam_adaptive_(50,)
3,0,0.606811626532665,0.5999550590652286,22.0,identity_adam_adaptive_(50, 50)
3,0,0.5981132518521127,0.6088519945214861,22.0,identity_adam_adaptive_(100,)
3,0,0.6173064429651024,0.6253838506126642,22.0,logistic_lbfgs_constant_(50,)
3,0,0.6241586731319393,0.6284615036564188,22.0,logistic_lbfgs_constant_(50, 50)
3,0,0.6244612925066237,0.6518071025020178,22.0,logistic_lbfgs_constant_(100,)
