Size,Ntrial,AvgTestAcc,AvgTrainAcc,AvgConfMatrix,Config
0.3,0,0.6962162162162162,0.660759493670886,[[73.2 17.8] [38.4 55.6]],identity_lbfgs_constant_(50,)
0.3,0,0.6097297297297297,0.5949367088607594,[[66.2 24.8] [47.4 46.6]],identity_lbfgs_constant_(50, 50)
0.3,0,0.6248648648648649,0.6151898734177215,[[71.2 19.8] [49.6 44.4]],identity_lbfgs_constant_(100,)
0.3,0,0.6962162162162162,0.660759493670886,[[73.2 17.8] [38.4 55.6]],identity_lbfgs_invscaling_(50,)
0.3,0,0.6097297297297297,0.5949367088607594,[[66.2 24.8] [47.4 46.6]],identity_lbfgs_invscaling_(50, 50)
0.3,0,0.6248648648648649,0.6151898734177215,[[71.2 19.8] [49.6 44.4]],identity_lbfgs_invscaling_(100,)
0.3,0,0.6962162162162162,0.660759493670886,[[73.2 17.8] [38.4 55.6]],identity_lbfgs_adaptive_(50,)
0.3,0,0.6097297297297297,0.5949367088607594,[[66.2 24.8] [47.4 46.6]],identity_lbfgs_adaptive_(50, 50)
0.3,0,0.6248648648648649,0.6151898734177215,[[71.2 19.8] [49.6 44.4]],identity_lbfgs_adaptive_(100,)
0.3,0,0.4918918918918919,0.4177215189873418,[[91.  0.] [94.  0.]],identity_sgd_constant_(50,)
0.3,0,0.4918918918918919,0.4177215189873418,[[91.  0.] [94.  0.]],identity_sgd_constant_(50, 50)
0.3,0,0.4918918918918919,0.4177215189873418,[[91.  0.] [94.  0.]],identity_sgd_constant_(100,)
0.3,0,0.5902702702702702,0.5949367088607594,[[42.6 48.4] [27.4 66.6]],identity_sgd_invscaling_(50,)
0.3,0,0.4918918918918919,0.4177215189873418,[[91.  0.] [94.  0.]],identity_sgd_invscaling_(50, 50)
0.3,0,0.6162162162162163,0.589873417721519,[[52.4 38.6] [32.4 61.6]],identity_sgd_invscaling_(100,)
0.3,0,0.4918918918918919,0.4177215189873418,[[91.  0.] [94.  0.]],identity_sgd_adaptive_(50,)
0.3,0,0.4918918918918919,0.4177215189873418,[[91.  0.] [94.  0.]],identity_sgd_adaptive_(50, 50)
0.3,0,0.4918918918918919,0.4177215189873418,[[91.  0.] [94.  0.]],identity_sgd_adaptive_(100,)
0.3,0,0.5891891891891892,0.6227848101265823,[[47.2 43.8] [32.2 61.8]],identity_adam_constant_(50,)
