Size,Ntrial,AvgTestAcc,AvgTrainAcc,AvgConfMatrix,Config
0.3,0,0.6972972972972973,0.759493670886076,[[64. 27.] [29. 65.]],linear_scale_0.1_3
0.3,0,0.7081081081081081,0.7468354430379747,[[64. 27.] [27. 67.]],linear_scale_1_3
0.3,0,0.7081081081081081,0.7468354430379747,[[64. 27.] [27. 67.]],linear_scale_10_3
0.3,0,0.7081081081081081,0.7468354430379747,[[64. 27.] [27. 67.]],linear_scale_100_3
0.3,0,0.7081081081081081,0.7468354430379747,[[64. 27.] [27. 67.]],linear_scale_1000_3
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],poly_scale_0.1_1
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],poly_scale_0.1_2
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],poly_scale_0.1_3
0.3,0,0.5135135135135135,0.5822784810126582,[[ 1. 90.] [ 0. 94.]],poly_scale_0.1_4
0.3,0,0.5135135135135135,0.5822784810126582,[[ 1. 90.] [ 0. 94.]],poly_scale_0.1_5
0.3,0,0.5027027027027027,0.5822784810126582,[[ 2. 89.] [ 3. 91.]],poly_scale_0.1_6
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],poly_scale_1_1
0.3,0,0.5135135135135135,0.5822784810126582,[[ 1. 90.] [ 0. 94.]],poly_scale_1_2
0.3,0,0.518918918918919,0.5822784810126582,[[ 2. 89.] [ 0. 94.]],poly_scale_1_3
0.3,0,0.5081081081081081,0.6835443037974683,[[11. 80.] [11. 83.]],poly_scale_1_4
0.3,0,0.5405405405405406,0.7215189873417721,[[19. 72.] [13. 81.]],poly_scale_1_5
0.3,0,0.5459459459459459,0.6835443037974683,[[18. 73.] [11. 83.]],poly_scale_1_6
0.3,0,0.5135135135135135,0.5822784810126582,[[ 1. 90.] [ 0. 94.]],poly_scale_10_1
0.3,0,0.6648648648648648,0.6582278481012658,[[57. 34.] [28. 66.]],poly_scale_10_2
0.3,0,0.7297297297297297,0.6962025316455697,[[70. 21.] [29. 65.]],poly_scale_10_3
0.3,0,0.6864864864864865,0.6582278481012658,[[61. 30.] [28. 66.]],poly_scale_10_4
0.3,0,0.7189189189189189,0.6835443037974683,[[69. 22.] [30. 64.]],poly_scale_10_5
0.3,0,0.7243243243243244,0.6962025316455697,[[69. 22.] [29. 65.]],poly_scale_10_6
0.3,0,0.7135135135135136,0.6835443037974683,[[74. 17.] [36. 58.]],poly_scale_100_1
0.3,0,0.7135135135135136,0.6962025316455697,[[69. 22.] [31. 63.]],poly_scale_100_2
0.3,0,0.7135135135135136,0.6835443037974683,[[69. 22.] [31. 63.]],poly_scale_100_3
0.3,0,0.6972972972972973,0.6962025316455697,[[68. 23.] [33. 61.]],poly_scale_100_4
0.3,0,0.7027027027027027,0.7215189873417721,[[69. 22.] [33. 61.]],poly_scale_100_5
0.3,0,0.6864864864864865,0.7215189873417721,[[69. 22.] [36. 58.]],poly_scale_100_6
0.3,0,0.7297297297297297,0.7215189873417721,[[79. 12.] [38. 56.]],poly_scale_1000_1
0.3,0,0.7189189189189189,0.7468354430379747,[[75. 16.] [36. 58.]],poly_scale_1000_2
0.3,0,0.7027027027027027,0.7088607594936709,[[68. 23.] [32. 62.]],poly_scale_1000_3
0.3,0,0.7189189189189189,0.7341772151898734,[[73. 18.] [34. 60.]],poly_scale_1000_4
0.3,0,0.7081081081081081,0.7341772151898734,[[73. 18.] [36. 58.]],poly_scale_1000_5
0.3,0,0.7081081081081081,0.7088607594936709,[[70. 21.] [33. 61.]],poly_scale_1000_6
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],rbf_1e-09_0.1_3
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],rbf_1e-05_0.1_3
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],rbf_0.1_0.1_3
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],rbf_1_0.1_3
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],rbf_10_0.1_3
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],rbf_100_0.1_3
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],rbf_1e-09_1_3
0.3,0,0.5621621621621622,0.9873417721518988,[[11. 80.] [ 1. 93.]],rbf_1e-05_1_3
0.3,0,0.5567567567567567,1.0,[[ 9. 82.] [ 0. 94.]],rbf_0.1_1_3
0.3,0,0.5567567567567567,1.0,[[ 9. 82.] [ 0. 94.]],rbf_1_1_3
0.3,0,0.5567567567567567,1.0,[[ 9. 82.] [ 0. 94.]],rbf_10_1_3
0.3,0,0.5567567567567567,1.0,[[ 9. 82.] [ 0. 94.]],rbf_100_1_3
0.3,0,0.6378378378378379,0.7215189873417721,[[37. 54.] [13. 81.]],rbf_1e-09_10_3
0.3,0,0.5621621621621622,1.0,[[14. 77.] [ 4. 90.]],rbf_1e-05_10_3
0.3,0,0.5567567567567567,1.0,[[ 9. 82.] [ 0. 94.]],rbf_0.1_10_3
0.3,0,0.5567567567567567,1.0,[[ 9. 82.] [ 0. 94.]],rbf_1_10_3
0.3,0,0.5567567567567567,1.0,[[ 9. 82.] [ 0. 94.]],rbf_10_10_3
0.3,0,0.5567567567567567,1.0,[[ 9. 82.] [ 0. 94.]],rbf_100_10_3
0.3,0,0.7081081081081081,0.6835443037974683,[[69. 22.] [32. 62.]],rbf_1e-09_100_3
0.3,0,0.5621621621621622,1.0,[[14. 77.] [ 4. 90.]],rbf_1e-05_100_3
0.3,0,0.5567567567567567,1.0,[[ 9. 82.] [ 0. 94.]],rbf_0.1_100_3
0.3,0,0.5567567567567567,1.0,[[ 9. 82.] [ 0. 94.]],rbf_1_100_3
0.3,0,0.5567567567567567,1.0,[[ 9. 82.] [ 0. 94.]],rbf_10_100_3
0.3,0,0.5567567567567567,1.0,[[ 9. 82.] [ 0. 94.]],rbf_100_100_3
0.3,0,0.6972972972972973,0.6835443037974683,[[62. 29.] [27. 67.]],rbf_1e-09_1000_3
0.3,0,0.5621621621621622,1.0,[[14. 77.] [ 4. 90.]],rbf_1e-05_1000_3
0.3,0,0.5567567567567567,1.0,[[ 9. 82.] [ 0. 94.]],rbf_0.1_1000_3
0.3,0,0.5567567567567567,1.0,[[ 9. 82.] [ 0. 94.]],rbf_1_1000_3
0.3,0,0.5567567567567567,1.0,[[ 9. 82.] [ 0. 94.]],rbf_10_1000_3
0.3,0,0.5567567567567567,1.0,[[ 9. 82.] [ 0. 94.]],rbf_100_1000_3
0.3,1,0.6972972972972973,0.759493670886076,[[67. 18.] [38. 62.]],linear_scale_0.1_3
0.3,1,0.7135135135135136,0.7848101265822784,[[70. 15.] [38. 62.]],linear_scale_1_3
0.3,1,0.7135135135135136,0.7721518987341772,[[70. 15.] [38. 62.]],linear_scale_10_3
0.3,1,0.7135135135135136,0.7721518987341772,[[70. 15.] [38. 62.]],linear_scale_100_3
0.3,1,0.7135135135135136,0.7721518987341772,[[70. 15.] [38. 62.]],linear_scale_1000_3
0.3,1,0.5405405405405406,0.5063291139240507,[[  0.  85.] [  0. 100.]],poly_scale_0.1_1
0.3,1,0.5405405405405406,0.5063291139240507,[[  0.  85.] [  0. 100.]],poly_scale_0.1_2
0.3,1,0.5459459459459459,0.5063291139240507,[[  1.  84.] [  0. 100.]],poly_scale_0.1_3
0.3,1,0.5891891891891892,0.5822784810126582,[[84.  1.] [75. 25.]],poly_scale_0.1_4
0.3,1,0.5405405405405406,0.5189873417721519,[[84.  1.] [84. 16.]],poly_scale_0.1_5
0.3,1,0.5891891891891892,0.5949367088607594,[[83.  2.] [74. 26.]],poly_scale_0.1_6
0.3,1,0.5405405405405406,0.5063291139240507,[[  0.  85.] [  0. 100.]],poly_scale_1_1
0.3,1,0.6054054054054054,0.6075949367088608,[[83.  2.] [71. 29.]],poly_scale_1_2
0.3,1,0.6270270270270271,0.6582278481012658,[[81.  4.] [65. 35.]],poly_scale_1_3
0.3,1,0.6054054054054054,0.6835443037974683,[[78.  7.] [66. 34.]],poly_scale_1_4
0.3,1,0.6108108108108108,0.6962025316455697,[[78.  7.] [65. 35.]],poly_scale_1_5
0.3,1,0.6,0.6962025316455697,[[77.  8.] [66. 34.]],poly_scale_1_6
0.3,1,0.6432432432432432,0.6962025316455697,[[81.  4.] [62. 38.]],poly_scale_10_1
0.3,1,0.6702702702702703,0.759493670886076,[[78.  7.] [54. 46.]],poly_scale_10_2
0.3,1,0.6756756756756757,0.759493670886076,[[77.  8.] [52. 48.]],poly_scale_10_3
0.3,1,0.6486486486486487,0.7341772151898734,[[75. 10.] [55. 45.]],poly_scale_10_4
0.3,1,0.6756756756756757,0.7341772151898734,[[78.  7.] [53. 47.]],poly_scale_10_5
0.3,1,0.6810810810810811,0.7215189873417721,[[77.  8.] [51. 49.]],poly_scale_10_6
0.3,1,0.7189189189189189,0.7721518987341772,[[82.  3.] [49. 51.]],poly_scale_100_1
0.3,1,0.7135135135135136,0.7721518987341772,[[81.  4.] [49. 51.]],poly_scale_100_2
0.3,1,0.7081081081081081,0.759493670886076,[[78.  7.] [47. 53.]],poly_scale_100_3
0.3,1,0.7027027027027027,0.759493670886076,[[80.  5.] [50. 50.]],poly_scale_100_4
0.3,1,0.6918918918918919,0.7468354430379747,[[79.  6.] [51. 49.]],poly_scale_100_5
0.3,1,0.6918918918918919,0.759493670886076,[[80.  5.] [52. 48.]],poly_scale_100_6
0.3,1,0.7189189189189189,0.7848101265822784,[[80.  5.] [47. 53.]],poly_scale_1000_1
0.3,1,0.7135135135135136,0.7721518987341772,[[78.  7.] [46. 54.]],poly_scale_1000_2
0.3,1,0.6864864864864865,0.7721518987341772,[[79.  6.] [52. 48.]],poly_scale_1000_3
0.3,1,0.6918918918918919,0.759493670886076,[[79.  6.] [51. 49.]],poly_scale_1000_4
0.3,1,0.6702702702702703,0.759493670886076,[[76.  9.] [52. 48.]],poly_scale_1000_5
0.3,1,0.6378378378378379,0.759493670886076,[[81.  4.] [63. 37.]],poly_scale_1000_6
0.3,1,0.5405405405405406,0.5063291139240507,[[  0.  85.] [  0. 100.]],rbf_1e-09_0.1_3
0.3,1,0.5405405405405406,0.5063291139240507,[[  0.  85.] [  0. 100.]],rbf_1e-05_0.1_3
0.3,1,0.5405405405405406,0.5063291139240507,[[  0.  85.] [  0. 100.]],rbf_0.1_0.1_3
0.3,1,0.5405405405405406,0.5063291139240507,[[  0.  85.] [  0. 100.]],rbf_1_0.1_3
0.3,1,0.5405405405405406,0.5063291139240507,[[  0.  85.] [  0. 100.]],rbf_10_0.1_3
0.3,1,0.5405405405405406,0.5063291139240507,[[  0.  85.] [  0. 100.]],rbf_100_0.1_3
0.3,1,0.5891891891891892,0.5949367088607594,[[16. 69.] [ 7. 93.]],rbf_1e-09_1_3
0.3,1,0.6162162162162163,1.0,[[23. 62.] [ 9. 91.]],rbf_1e-05_1_3
0.3,1,0.5783783783783784,1.0,[[  7.  78.] [  0. 100.]],rbf_0.1_1_3
0.3,1,0.5783783783783784,1.0,[[  7.  78.] [  0. 100.]],rbf_1_1_3
0.3,1,0.5783783783783784,1.0,[[  7.  78.] [  0. 100.]],rbf_10_1_3
0.3,1,0.5783783783783784,1.0,[[  7.  78.] [  0. 100.]],rbf_100_1_3
0.3,1,0.6702702702702703,0.7341772151898734,[[81.  4.] [57. 43.]],rbf_1e-09_10_3
0.3,1,0.6108108108108108,1.0,[[25. 60.] [12. 88.]],rbf_1e-05_10_3
0.3,1,0.5783783783783784,1.0,[[  7.  78.] [  0. 100.]],rbf_0.1_10_3
0.3,1,0.5783783783783784,1.0,[[  7.  78.] [  0. 100.]],rbf_1_10_3
0.3,1,0.5783783783783784,1.0,[[  7.  78.] [  0. 100.]],rbf_10_10_3
0.3,1,0.5783783783783784,1.0,[[  7.  78.] [  0. 100.]],rbf_100_10_3
