Size,Ntrial,AvgTestAcc,AvgTrainAcc,AvgConfMatrix,Config
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],1_1_SAMME
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],1_1_SAMME.R
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],1_2_SAMME
0.3,0,0.6036036036036037,0.8936170212765957,[[24. 30.] [14. 43.]],1_2_SAMME.R
0.3,0,0.6486486486486487,0.8723404255319149,[[29. 25.] [14. 43.]],1_4_SAMME
0.3,0,0.6036036036036037,0.8936170212765957,[[24. 30.] [14. 43.]],1_4_SAMME.R
0.3,0,0.6216216216216216,0.9148936170212766,[[31. 23.] [19. 38.]],1_8_SAMME
0.3,0,0.6846846846846847,1.0,[[34. 20.] [15. 42.]],1_8_SAMME.R
0.3,0,0.6216216216216216,0.9574468085106383,[[32. 22.] [20. 37.]],1_16_SAMME
0.3,0,0.6846846846846847,1.0,[[35. 19.] [16. 41.]],1_16_SAMME.R
0.3,0,0.6576576576576577,1.0,[[33. 21.] [17. 40.]],1_32_SAMME
0.3,0,0.6396396396396397,1.0,[[32. 22.] [18. 39.]],1_32_SAMME.R
0.3,0,0.6486486486486487,1.0,[[30. 24.] [15. 42.]],1_64_SAMME
0.3,0,0.6576576576576577,1.0,[[31. 23.] [15. 42.]],1_64_SAMME.R
0.3,0,0.6396396396396397,1.0,[[30. 24.] [16. 41.]],1_100_SAMME
0.3,0,0.6396396396396397,1.0,[[31. 23.] [17. 40.]],1_100_SAMME.R
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],0.5_1_SAMME
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],0.5_1_SAMME.R
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],0.5_2_SAMME
0.3,0,0.6216216216216216,0.8297872340425532,[[23. 31.] [11. 46.]],0.5_2_SAMME.R
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],0.5_4_SAMME
0.3,0,0.6216216216216216,0.9148936170212766,[[31. 23.] [19. 38.]],0.5_4_SAMME.R
0.3,0,0.6486486486486487,0.8723404255319149,[[29. 25.] [14. 43.]],0.5_8_SAMME
0.3,0,0.6306306306306306,0.9361702127659575,[[29. 25.] [16. 41.]],0.5_8_SAMME.R
0.3,0,0.6306306306306306,0.9148936170212766,[[31. 23.] [18. 39.]],0.5_16_SAMME
0.3,0,0.5765765765765766,1.0,[[28. 26.] [21. 36.]],0.5_16_SAMME.R
0.3,0,0.6396396396396397,0.9361702127659575,[[30. 24.] [16. 41.]],0.5_32_SAMME
0.3,0,0.6036036036036037,1.0,[[31. 23.] [21. 36.]],0.5_32_SAMME.R
0.3,0,0.6486486486486487,0.9787234042553191,[[31. 23.] [16. 41.]],0.5_64_SAMME
0.3,0,0.6216216216216216,1.0,[[32. 22.] [20. 37.]],0.5_64_SAMME.R
0.3,0,0.6666666666666666,1.0,[[33. 21.] [16. 41.]],0.5_100_SAMME
0.3,0,0.6126126126126126,1.0,[[30. 24.] [19. 38.]],0.5_100_SAMME.R
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],0.25_1_SAMME
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],0.25_1_SAMME.R
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],0.25_2_SAMME
0.3,0,0.6666666666666666,0.7872340425531915,[[31. 23.] [14. 43.]],0.25_2_SAMME.R
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],0.25_4_SAMME
0.3,0,0.6216216216216216,0.8297872340425532,[[23. 31.] [11. 46.]],0.25_4_SAMME.R
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],0.25_8_SAMME
0.3,0,0.6036036036036037,0.8936170212765957,[[24. 30.] [14. 43.]],0.25_8_SAMME.R
0.3,0,0.6486486486486487,0.8723404255319149,[[29. 25.] [14. 43.]],0.25_16_SAMME
0.3,0,0.6126126126126126,1.0,[[28. 26.] [17. 40.]],0.25_16_SAMME.R
0.3,0,0.6486486486486487,0.8723404255319149,[[29. 25.] [14. 43.]],0.25_32_SAMME
0.3,0,0.5585585585585585,1.0,[[22. 32.] [17. 40.]],0.25_32_SAMME.R
0.3,0,0.6396396396396397,0.9361702127659575,[[31. 23.] [17. 40.]],0.25_64_SAMME
0.3,0,0.6216216216216216,1.0,[[28. 26.] [16. 41.]],0.25_64_SAMME.R
0.3,0,0.6306306306306306,0.9361702127659575,[[30. 24.] [17. 40.]],0.25_100_SAMME
0.3,0,0.5855855855855856,1.0,[[25. 29.] [17. 40.]],0.25_100_SAMME.R
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],0.1_1_SAMME
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],0.1_1_SAMME.R
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],0.1_2_SAMME
0.3,0,0.6666666666666666,0.7872340425531915,[[31. 23.] [14. 43.]],0.1_2_SAMME.R
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],0.1_4_SAMME
0.3,0,0.6666666666666666,0.7872340425531915,[[31. 23.] [14. 43.]],0.1_4_SAMME.R
0.3,0,0.6666666666666666,0.8085106382978723,[[38. 16.] [21. 36.]],0.1_8_SAMME
0.3,0,0.6036036036036037,0.8936170212765957,[[24. 30.] [14. 43.]],0.1_8_SAMME.R
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],0.1_16_SAMME
0.3,0,0.6036036036036037,0.8936170212765957,[[24. 30.] [14. 43.]],0.1_16_SAMME.R
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],0.1_32_SAMME
0.3,0,0.5855855855855856,0.9787234042553191,[[25. 29.] [17. 40.]],0.1_32_SAMME.R
0.3,0,0.6756756756756757,0.8936170212765957,[[36. 18.] [18. 39.]],0.1_64_SAMME
0.3,0,0.6216216216216216,1.0,[[28. 26.] [16. 41.]],0.1_64_SAMME.R
0.3,0,0.6306306306306306,0.9148936170212766,[[31. 23.] [18. 39.]],0.1_100_SAMME
0.3,0,0.6126126126126126,1.0,[[27. 27.] [16. 41.]],0.1_100_SAMME.R
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],0.05_1_SAMME
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],0.05_1_SAMME.R
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],0.05_2_SAMME
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],0.05_2_SAMME.R
0.3,0,0.6576576576576577,0.7872340425531915,[[31. 23.] [15. 42.]],0.05_4_SAMME
