Size,Ntrial,TestAcc,TrainAcc,ConfMatrix,Config
0.3,0,0.6036036036036037,1.0,[[30 24] [20 37]],1_1
0.3,0,0.6216216216216216,1.0,[[34 20] [22 35]],1_2
0.3,0,0.6036036036036037,1.0,[[33 21] [23 34]],1_3
0.3,0,0.6126126126126126,1.0,[[34 20] [23 34]],1_4
0.3,0,0.6306306306306306,1.0,[[35 19] [22 35]],1_5
0.3,0,0.5585585585585585,0.6808510638297872,[[35 19] [30 27]],6_1
0.3,0,0.5855855855855856,0.723404255319149,[[37 17] [29 28]],6_2
0.3,0,0.5765765765765766,0.723404255319149,[[37 17] [30 27]],6_3
0.3,0,0.5585585585585585,0.7021276595744681,[[37 17] [32 25]],6_4
0.3,0,0.5495495495495496,0.6808510638297872,[[36 18] [32 25]],6_5
0.3,0,0.5675675675675675,0.6595744680851063,[[26 28] [20 37]],11_1
0.3,0,0.5135135135135135,0.7021276595744681,[[21 33] [21 36]],11_2
0.3,0,0.5045045045045045,0.723404255319149,[[23 31] [24 33]],11_3
0.3,0,0.5045045045045045,0.6808510638297872,[[24 30] [25 32]],11_4
0.3,0,0.5045045045045045,0.6595744680851063,[[24 30] [25 32]],11_5
0.3,0,0.5405405405405406,0.6382978723404256,[[25 29] [22 35]],16_1
0.3,0,0.46846846846846846,0.6595744680851063,[[17 37] [22 35]],16_2
0.3,0,0.45045045045045046,0.6382978723404256,[[16 38] [23 34]],16_3
0.3,0,0.44144144144144143,0.6382978723404256,[[15 39] [23 34]],16_4
0.3,0,0.44144144144144143,0.6382978723404256,[[15 39] [23 34]],16_5
0.3,0,0.4954954954954955,0.574468085106383,[[13 41] [15 42]],21_1
0.3,0,0.4774774774774775,0.5957446808510638,[[ 4 50] [ 8 49]],21_2
0.3,0,0.4774774774774775,0.6170212765957447,[[ 3 51] [ 7 50]],21_3
0.3,0,0.4864864864864865,0.5957446808510638,[[ 3 51] [ 6 51]],21_4
0.3,0,0.4954954954954955,0.574468085106383,[[ 4 50] [ 6 51]],21_5
0.3,0,0.6486486486486487,0.6170212765957447,[[24 30] [ 9 48]],26_1
0.3,0,0.5585585585585585,0.6382978723404256,[[ 6 48] [ 1 56]],26_2
0.3,0,0.5135135135135135,0.5957446808510638,[[ 0 54] [ 0 57]],26_3
0.3,0,0.5135135135135135,0.5957446808510638,[[ 0 54] [ 0 57]],26_4
0.3,0,0.5135135135135135,0.5957446808510638,[[ 0 54] [ 0 57]],26_5
0.3,1,0.5225225225225225,1.0,[[29 24] [29 29]],1_1
0.3,1,0.5495495495495496,1.0,[[34 19] [31 27]],1_2
0.3,1,0.5675675675675675,1.0,[[35 18] [30 28]],1_3
0.3,1,0.5585585585585585,1.0,[[35 18] [31 27]],1_4
0.3,1,0.5585585585585585,1.0,[[35 18] [31 27]],1_5
0.3,1,0.5135135135135135,0.723404255319149,[[36 17] [37 21]],6_1
0.3,1,0.4864864864864865,0.7872340425531915,[[34 19] [38 20]],6_2
0.3,1,0.4594594594594595,0.7446808510638298,[[32 21] [39 19]],6_3
0.3,1,0.46846846846846846,0.7446808510638298,[[33 20] [39 19]],6_4
0.3,1,0.46846846846846846,0.7021276595744681,[[33 20] [39 19]],6_5
