Size,Ntrial,AvgTestAcc,AvgTrainAcc,AvgConfMatrix,Config
0.3,0,0.6396396396396397,0.6808510638297872,[[30. 24.] [16. 41.]],linear_scale_0.1_3
0.3,0,0.6486486486486487,0.6808510638297872,[[31. 23.] [16. 41.]],linear_scale_1_3
0.3,0,0.6486486486486487,0.6808510638297872,[[31. 23.] [16. 41.]],linear_scale_10_3
0.3,0,0.6486486486486487,0.6808510638297872,[[31. 23.] [16. 41.]],linear_scale_100_3
0.3,0,0.6486486486486487,0.6808510638297872,[[31. 23.] [16. 41.]],linear_scale_1000_3
0.3,0,0.5135135135135135,0.5957446808510638,[[ 0. 54.] [ 0. 57.]],poly_scale_0.1_1
0.3,0,0.5135135135135135,0.5957446808510638,[[ 0. 54.] [ 0. 57.]],poly_scale_0.1_2
0.3,0,0.5135135135135135,0.6170212765957447,[[ 0. 54.] [ 0. 57.]],poly_scale_0.1_3
0.3,0,0.5225225225225225,0.6382978723404256,[[ 1. 53.] [ 0. 57.]],poly_scale_0.1_4
0.3,0,0.5225225225225225,0.6382978723404256,[[ 1. 53.] [ 0. 57.]],poly_scale_0.1_5
0.3,0,0.5225225225225225,0.6382978723404256,[[ 1. 53.] [ 0. 57.]],poly_scale_0.1_6
0.3,0,0.5135135135135135,0.5957446808510638,[[ 0. 54.] [ 0. 57.]],poly_scale_1_1
0.3,0,0.5135135135135135,0.5957446808510638,[[ 0. 54.] [ 0. 57.]],poly_scale_1_2
0.3,0,0.5225225225225225,0.6382978723404256,[[ 1. 53.] [ 0. 57.]],poly_scale_1_3
0.3,0,0.5315315315315315,0.6382978723404256,[[ 2. 52.] [ 0. 57.]],poly_scale_1_4
0.3,0,0.5225225225225225,0.6382978723404256,[[ 1. 53.] [ 0. 57.]],poly_scale_1_5
0.3,0,0.5225225225225225,0.6382978723404256,[[ 1. 53.] [ 0. 57.]],poly_scale_1_6
0.3,0,0.5135135135135135,0.5957446808510638,[[ 0. 54.] [ 0. 57.]],poly_scale_10_1
0.3,0,0.5315315315315315,0.6382978723404256,[[ 2. 52.] [ 0. 57.]],poly_scale_10_2
0.3,0,0.5585585585585585,0.6382978723404256,[[ 5. 49.] [ 0. 57.]],poly_scale_10_3
