Size,Ntrial,AvgTestAcc,AvgTrainAcc,AvgConfMatrix,Config
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],1_1_SAMME
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],1_1_SAMME.R
0.3,0,0.5081081081081081,0.5822784810126582,[[ 0. 91.] [ 0. 94.]],1_2_SAMME
0.3,0,0.6648648648648648,0.8227848101265823,[[65. 26.] [36. 58.]],1_2_SAMME.R
0.3,0,0.6216216216216216,0.7468354430379747,[[70. 21.] [49. 45.]],1_4_SAMME
0.3,0,0.6378378378378379,0.8987341772151899,[[53. 38.] [29. 65.]],1_4_SAMME.R
0.3,0,0.6432432432432432,0.8987341772151899,[[55. 36.] [30. 64.]],1_8_SAMME
0.3,0,0.6486486486486487,0.9240506329113924,[[55. 36.] [29. 65.]],1_8_SAMME.R
0.3,0,0.6378378378378379,0.9240506329113924,[[47. 44.] [23. 71.]],1_16_SAMME
0.3,0,0.6648648648648648,0.9746835443037974,[[56. 35.] [27. 67.]],1_16_SAMME.R
0.3,0,0.6486486486486487,0.9746835443037974,[[54. 37.] [28. 66.]],1_32_SAMME
0.3,0,0.6756756756756757,1.0,[[54. 37.] [23. 71.]],1_32_SAMME.R
0.3,0,0.6324324324324324,0.9873417721518988,[[50. 41.] [27. 67.]],1_64_SAMME
0.3,0,0.6594594594594595,1.0,[[52. 39.] [24. 70.]],1_64_SAMME.R
0.3,0,0.6486486486486487,1.0,[[54. 37.] [28. 66.]],1_100_SAMME
0.3,0,0.6810810810810811,1.0,[[59. 32.] [27. 67.]],1_100_SAMME.R
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],0.5_1_SAMME
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],0.5_1_SAMME.R
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],0.5_2_SAMME
0.3,0,0.6378378378378379,0.810126582278481,[[67. 24.] [43. 51.]],0.5_2_SAMME.R
0.3,0,0.6648648648648648,0.8227848101265823,[[65. 26.] [36. 58.]],0.5_4_SAMME
0.3,0,0.6324324324324324,0.8860759493670886,[[57. 34.] [34. 60.]],0.5_4_SAMME.R
0.3,0,0.6378378378378379,0.810126582278481,[[67. 24.] [43. 51.]],0.5_8_SAMME
0.3,0,0.6594594594594595,0.9367088607594937,[[55. 36.] [27. 67.]],0.5_8_SAMME.R
0.3,0,0.6216216216216216,0.8860759493670886,[[48. 43.] [27. 67.]],0.5_16_SAMME
0.3,0,0.6864864864864865,0.9493670886075949,[[54. 37.] [21. 73.]],0.5_16_SAMME.R
0.3,0,0.6378378378378379,0.8860759493670886,[[51. 40.] [27. 67.]],0.5_32_SAMME
0.3,0,0.6756756756756757,1.0,[[55. 36.] [24. 70.]],0.5_32_SAMME.R
0.3,0,0.6486486486486487,0.9113924050632911,[[54. 37.] [28. 66.]],0.5_64_SAMME
0.3,0,0.6810810810810811,1.0,[[56. 35.] [24. 70.]],0.5_64_SAMME.R
0.3,0,0.6378378378378379,0.9620253164556962,[[51. 40.] [27. 67.]],0.5_100_SAMME
0.3,0,0.6972972972972973,1.0,[[56. 35.] [21. 73.]],0.5_100_SAMME.R
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],0.25_1_SAMME
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],0.25_1_SAMME.R
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],0.25_2_SAMME
0.3,0,0.6378378378378379,0.810126582278481,[[67. 24.] [43. 51.]],0.25_2_SAMME.R
0.3,0,0.6648648648648648,0.8227848101265823,[[65. 26.] [36. 58.]],0.25_4_SAMME
0.3,0,0.6324324324324324,0.8734177215189873,[[50. 41.] [27. 67.]],0.25_4_SAMME.R
0.3,0,0.6378378378378379,0.810126582278481,[[67. 24.] [43. 51.]],0.25_8_SAMME
0.3,0,0.6378378378378379,0.8987341772151899,[[55. 36.] [31. 63.]],0.25_8_SAMME.R
0.3,0,0.6324324324324324,0.8734177215189873,[[50. 41.] [27. 67.]],0.25_16_SAMME
0.3,0,0.654054054054054,0.9367088607594937,[[55. 36.] [28. 66.]],0.25_16_SAMME.R
0.3,0,0.6324324324324324,0.8860759493670886,[[57. 34.] [34. 60.]],0.25_32_SAMME
0.3,0,0.6756756756756757,0.9620253164556962,[[54. 37.] [23. 71.]],0.25_32_SAMME.R
0.3,0,0.6486486486486487,0.8987341772151899,[[54. 37.] [28. 66.]],0.25_64_SAMME
0.3,0,0.6972972972972973,1.0,[[57. 34.] [22. 72.]],0.25_64_SAMME.R
0.3,0,0.6486486486486487,0.8987341772151899,[[55. 36.] [29. 65.]],0.25_100_SAMME
0.3,0,0.6918918918918919,1.0,[[55. 36.] [21. 73.]],0.25_100_SAMME.R
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],0.1_1_SAMME
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],0.1_1_SAMME.R
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],0.1_2_SAMME
0.3,0,0.6378378378378379,0.810126582278481,[[67. 24.] [43. 51.]],0.1_2_SAMME.R
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],0.1_4_SAMME
0.3,0,0.6324324324324324,0.8734177215189873,[[50. 41.] [27. 67.]],0.1_4_SAMME.R
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],0.1_8_SAMME
0.3,0,0.6594594594594595,0.8734177215189873,[[50. 41.] [22. 72.]],0.1_8_SAMME.R
0.3,0,0.6702702702702703,0.759493670886076,[[82.  9.] [52. 42.]],0.1_16_SAMME
0.3,0,0.6810810810810811,0.9113924050632911,[[57. 34.] [25. 69.]],0.1_16_SAMME.R
0.3,0,0.6378378378378379,0.810126582278481,[[67. 24.] [43. 51.]],0.1_32_SAMME
0.3,0,0.6864864864864865,0.9240506329113924,[[56. 35.] [23. 71.]],0.1_32_SAMME.R
0.3,0,0.6324324324324324,0.8860759493670886,[[57. 34.] [34. 60.]],0.1_64_SAMME
0.3,0,0.6810810810810811,0.9493670886075949,[[55. 36.] [23. 71.]],0.1_64_SAMME.R
0.3,0,0.6378378378378379,0.8987341772151899,[[53. 38.] [29. 65.]],0.1_100_SAMME
0.3,0,0.6810810810810811,0.9620253164556962,[[56. 35.] [24. 70.]],0.1_100_SAMME.R
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],0.05_1_SAMME
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],0.05_1_SAMME.R
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],0.05_2_SAMME
0.3,0,0.6378378378378379,0.810126582278481,[[67. 24.] [43. 51.]],0.05_2_SAMME.R
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],0.05_4_SAMME
0.3,0,0.6324324324324324,0.8734177215189873,[[50. 41.] [27. 67.]],0.05_4_SAMME.R
0.3,0,0.6378378378378379,0.6835443037974683,[[86.  5.] [62. 32.]],0.05_8_SAMME
0.3,0,0.6324324324324324,0.8734177215189873,[[50. 41.] [27. 67.]],0.05_8_SAMME.R
