Size,Ntrial,AvgTestAcc,AvgTrainAcc,AvgConfMatrix,Config
0.3,0,0.6367567567567568,0.6455696202531646,[[62.8 28.2] [39.  55. ]],identity_lbfgs_constant_(50,)
0.3,0,0.6032432432432433,0.5974683544303797,[[60.4 30.6] [42.8 51.2]],identity_lbfgs_constant_(50, 50)
0.3,0,0.6291891891891892,0.5949367088607596,[[61.2 29.8] [38.8 55.2]],identity_lbfgs_constant_(100,)
0.3,0,0.6367567567567568,0.6455696202531646,[[62.8 28.2] [39.  55. ]],identity_lbfgs_invscaling_(50,)
0.3,0,0.6032432432432433,0.5974683544303797,[[60.4 30.6] [42.8 51.2]],identity_lbfgs_invscaling_(50, 50)
0.3,0,0.6291891891891892,0.5949367088607596,[[61.2 29.8] [38.8 55.2]],identity_lbfgs_invscaling_(100,)
0.3,0,0.6367567567567568,0.6455696202531646,[[62.8 28.2] [39.  55. ]],identity_lbfgs_adaptive_(50,)
0.3,0,0.6032432432432433,0.5974683544303797,[[60.4 30.6] [42.8 51.2]],identity_lbfgs_adaptive_(50, 50)
0.3,0,0.6291891891891892,0.5949367088607596,[[61.2 29.8] [38.8 55.2]],identity_lbfgs_adaptive_(100,)
0.3,0,0.4918918918918919,0.4177215189873418,[[91.  0.] [94.  0.]],identity_sgd_constant_(50,)
0.3,0,0.4918918918918919,0.4177215189873418,[[91.  0.] [94.  0.]],identity_sgd_constant_(50, 50)
0.3,0,0.4918918918918919,0.4177215189873418,[[91.  0.] [94.  0.]],identity_sgd_constant_(100,)
0.3,0,0.5945945945945946,0.5974683544303798,[[49.6 41.4] [33.6 60.4]],identity_sgd_invscaling_(50,)
0.3,0,0.4918918918918919,0.4177215189873418,[[91.  0.] [94.  0.]],identity_sgd_invscaling_(50, 50)
0.3,0,0.6291891891891892,0.6430379746835443,[[42.6 48.4] [20.2 73.8]],identity_sgd_invscaling_(100,)
0.3,0,0.4918918918918919,0.4177215189873418,[[91.  0.] [94.  0.]],identity_sgd_adaptive_(50,)
0.3,0,0.4918918918918919,0.4177215189873418,[[91.  0.] [94.  0.]],identity_sgd_adaptive_(50, 50)
0.3,0,0.4918918918918919,0.4177215189873418,[[91.  0.] [94.  0.]],identity_sgd_adaptive_(100,)
0.3,0,0.5956756756756757,0.6506329113924051,[[32.6 58.4] [16.4 77.6]],identity_adam_constant_(50,)
0.3,0,0.585945945945946,0.5620253164556962,[[63.8 27.2] [49.4 44.6]],identity_adam_constant_(50, 50)
0.3,0,0.6594594594594595,0.6759493670886076,[[58.8 32.2] [30.8 63.2]],identity_adam_constant_(100,)
0.3,0,0.5956756756756757,0.6506329113924051,[[32.6 58.4] [16.4 77.6]],identity_adam_invscaling_(50,)
0.3,0,0.585945945945946,0.5620253164556962,[[63.8 27.2] [49.4 44.6]],identity_adam_invscaling_(50, 50)
0.3,0,0.6594594594594595,0.6759493670886076,[[58.8 32.2] [30.8 63.2]],identity_adam_invscaling_(100,)
0.3,0,0.5956756756756757,0.6506329113924051,[[32.6 58.4] [16.4 77.6]],identity_adam_adaptive_(50,)
0.3,0,0.585945945945946,0.5620253164556962,[[63.8 27.2] [49.4 44.6]],identity_adam_adaptive_(50, 50)
0.3,0,0.6594594594594595,0.6759493670886076,[[58.8 32.2] [30.8 63.2]],identity_adam_adaptive_(100,)
0.3,0,0.5848648648648649,0.6759493670886076,[[30.4 60.6] [16.2 77.8]],logistic_lbfgs_constant_(50,)
