Size,Ntrial,TestAcc,TrainAcc,ConfMatrix,Config
0.3,0,0.5567567567567567,1.0,[[37 54] [28 66]],1_1
0.3,0,0.6,1.0,[[39 52] [22 72]],1_2
0.3,0,0.5783783783783784,1.0,[[37 54] [24 70]],1_3
0.3,0,0.5837837837837838,1.0,[[37 54] [23 71]],1_4
0.3,0,0.5891891891891892,1.0,[[37 54] [22 72]],1_5
0.3,0,0.6,0.7468354430379747,[[56 35] [39 55]],6_1
0.3,0,0.5783783783783784,0.7215189873417721,[[58 33] [45 49]],6_2
0.3,0,0.572972972972973,0.7341772151898734,[[55 36] [43 51]],6_3
0.3,0,0.6,0.7721518987341772,[[58 33] [41 53]],6_4
0.3,0,0.6054054054054054,0.7848101265822784,[[60 31] [42 52]],6_5
0.3,0,0.5945945945945946,0.6835443037974683,[[41 50] [25 69]],11_1
0.3,0,0.5297297297297298,0.7088607594936709,[[37 54] [33 61]],11_2
0.3,0,0.5135135135135135,0.7848101265822784,[[34 57] [33 61]],11_3
0.3,0,0.5135135135135135,0.7721518987341772,[[35 56] [34 60]],11_4
0.3,0,0.5243243243243243,0.7468354430379747,[[35 56] [32 62]],11_5
0.3,0,0.6054054054054054,0.6582278481012658,[[52 39] [34 60]],16_1
0.3,0,0.654054054054054,0.7341772151898734,[[53 38] [26 68]],16_2
0.3,0,0.6216216216216216,0.6708860759493671,[[46 45] [25 69]],16_3
0.3,0,0.6162162162162163,0.6708860759493671,[[47 44] [27 67]],16_4
0.3,0,0.6108108108108108,0.6835443037974683,[[49 42] [30 64]],16_5
0.3,0,0.654054054054054,0.6962025316455697,[[44 47] [17 77]],21_1
0.3,0,0.6270270270270271,0.5949367088607594,[[37 54] [15 79]],21_2
0.3,0,0.6108108108108108,0.6329113924050633,[[34 57] [15 79]],21_3
0.3,0,0.5783783783783784,0.6329113924050633,[[31 60] [18 76]],21_4
0.3,0,0.5891891891891892,0.620253164556962,[[31 60] [16 78]],21_5
0.3,0,0.6756756756756757,0.7215189873417721,[[54 37] [23 71]],26_1
0.3,0,0.6162162162162163,0.6329113924050633,[[42 49] [22 72]],26_2
0.3,0,0.6054054054054054,0.6455696202531646,[[37 54] [19 75]],26_3
0.3,0,0.6,0.6455696202531646,[[36 55] [19 75]],26_4
0.3,0,0.6216216216216216,0.6455696202531646,[[38 53] [17 77]],26_5
0.3,1,0.6810810810810811,1.0,[[71 14] [45 55]],1_1
0.3,1,0.6864864864864865,1.0,[[70 15] [43 57]],1_2
0.3,1,0.6918918918918919,1.0,[[72 13] [44 56]],1_3
0.3,1,0.6702702702702703,1.0,[[68 17] [44 56]],1_4
0.3,1,0.6756756756756757,1.0,[[68 17] [43 57]],1_5
0.3,1,0.6270270270270271,0.6835443037974683,[[76  9] [60 40]],6_1
0.3,1,0.6486486486486487,0.7341772151898734,[[76  9] [56 44]],6_2
0.3,1,0.6378378378378379,0.7341772151898734,[[77  8] [59 41]],6_3
0.3,1,0.6324324324324324,0.7215189873417721,[[77  8] [60 40]],6_4
0.3,1,0.6378378378378379,0.7215189873417721,[[77  8] [59 41]],6_5
0.3,1,0.6702702702702703,0.759493670886076,[[79  6] [55 45]],11_1
0.3,1,0.6432432432432432,0.759493670886076,[[77  8] [58 42]],11_2
0.3,1,0.6378378378378379,0.7468354430379747,[[70 15] [52 48]],11_3
0.3,1,0.6486486486486487,0.7341772151898734,[[70 15] [50 50]],11_4
0.3,1,0.6486486486486487,0.7341772151898734,[[70 15] [50 50]],11_5
0.3,1,0.6054054054054054,0.6962025316455697,[[82  3] [70 30]],16_1
0.3,1,0.5837837837837838,0.6835443037974683,[[78  7] [70 30]],16_2
0.3,1,0.5945945945945946,0.6708860759493671,[[78  7] [68 32]],16_3
0.3,1,0.5891891891891892,0.6708860759493671,[[77  8] [68 32]],16_4
0.3,1,0.5837837837837838,0.6708860759493671,[[77  8] [69 31]],16_5
0.3,1,0.6432432432432432,0.6582278481012658,[[81  4] [62 38]],21_1
0.3,1,0.6324324324324324,0.6455696202531646,[[81  4] [64 36]],21_2
0.3,1,0.6324324324324324,0.6582278481012658,[[81  4] [64 36]],21_3
0.3,1,0.5891891891891892,0.6835443037974683,[[76  9] [67 33]],21_4
0.3,1,0.5891891891891892,0.6708860759493671,[[76  9] [67 33]],21_5
0.3,1,0.6216216216216216,0.6329113924050633,[[83  2] [68 32]],26_1
0.3,1,0.6108108108108108,0.6329113924050633,[[83  2] [70 30]],26_2
0.3,1,0.6108108108108108,0.6455696202531646,[[82  3] [69 31]],26_3
0.3,1,0.6054054054054054,0.6455696202531646,[[82  3] [70 30]],26_4
0.3,1,0.6,0.6329113924050633,[[82  3] [71 29]],26_5
0.3,2,0.5837837837837838,1.0,[[55 34] [43 53]],1_1
0.3,2,0.5945945945945946,1.0,[[53 36] [39 57]],1_2
0.3,2,0.572972972972973,1.0,[[50 39] [40 56]],1_3
