Size,Ntrial,TestAcc,TrainAcc,ConfMatrix,Config
3,0,0.6931128409237669,0.7215956171888376,[[34.          7.33333333] [19.66666667 27.        ]],1e-09
3,0,0.6931128409237669,0.7215956171888376,[[34.          7.33333333] [19.66666667 27.        ]],1e-08
3,0,0.696944258548288,0.7216171399222246,[[34.          7.33333333] [19.33333333 27.33333333]],1e-07
3,0,0.708264356075282,0.7291821972754177,[[35.33333333  6.        ] [19.66666667 27.        ]],1e-06
3,0,0.723329771954336,0.7311086042018246,[[36.66666667  4.66666667] [19.66666667 27.        ]],1e-05
3,0,0.7120086960265185,0.7235221464035023,[[37.33333333  4.        ] [21.33333333 25.33333333]],0.0001
3,1,0.6931128409237669,0.7215956171888376,[[34.          7.33333333] [19.66666667 27.        ]],1e-09
3,1,0.6931128409237669,0.7215956171888376,[[34.          7.33333333] [19.66666667 27.        ]],1e-08
3,1,0.696944258548288,0.7216171399222246,[[34.          7.33333333] [19.33333333 27.33333333]],1e-07
3,1,0.708264356075282,0.7291821972754177,[[35.33333333  6.        ] [19.66666667 27.        ]],1e-06
3,1,0.723329771954336,0.7311086042018246,[[36.66666667  4.66666667] [19.66666667 27.        ]],1e-05
3,1,0.7120086960265185,0.7235221464035023,[[37.33333333  4.        ] [21.33333333 25.33333333]],0.0001
3,2,0.6931128409237669,0.7215956171888376,[[34.          7.33333333] [19.66666667 27.        ]],1e-09
3,2,0.6931128409237669,0.7215956171888376,[[34.          7.33333333] [19.66666667 27.        ]],1e-08
3,2,0.696944258548288,0.7216171399222246,[[34.          7.33333333] [19.33333333 27.33333333]],1e-07
3,2,0.708264356075282,0.7291821972754177,[[35.33333333  6.        ] [19.66666667 27.        ]],1e-06
3,2,0.723329771954336,0.7311086042018246,[[36.66666667  4.66666667] [19.66666667 27.        ]],1e-05
3,2,0.7120086960265185,0.7235221464035023,[[37.33333333  4.        ] [21.33333333 25.33333333]],0.0001
3,3,0.6931128409237669,0.7215956171888376,[[34.          7.33333333] [19.66666667 27.        ]],1e-09
3,3,0.6931128409237669,0.7215956171888376,[[34.          7.33333333] [19.66666667 27.        ]],1e-08
3,3,0.696944258548288,0.7216171399222246,[[34.          7.33333333] [19.33333333 27.33333333]],1e-07
3,3,0.708264356075282,0.7291821972754177,[[35.33333333  6.        ] [19.66666667 27.        ]],1e-06
3,3,0.723329771954336,0.7311086042018246,[[36.66666667  4.66666667] [19.66666667 27.        ]],1e-05
3,3,0.7120086960265185,0.7235221464035023,[[37.33333333  4.        ] [21.33333333 25.33333333]],0.0001
3,4,0.6931128409237669,0.7215956171888376,[[34.          7.33333333] [19.66666667 27.        ]],1e-09
3,4,0.6931128409237669,0.7215956171888376,[[34.          7.33333333] [19.66666667 27.        ]],1e-08
3,4,0.696944258548288,0.7216171399222246,[[34.          7.33333333] [19.33333333 27.33333333]],1e-07
3,4,0.708264356075282,0.7291821972754177,[[35.33333333  6.        ] [19.66666667 27.        ]],1e-06
3,4,0.723329771954336,0.7311086042018246,[[36.66666667  4.66666667] [19.66666667 27.        ]],1e-05
3,4,0.7120086960265185,0.7235221464035023,[[37.33333333  4.        ] [21.33333333 25.33333333]],0.0001
3,5,0.6931128409237669,0.7215956171888376,[[34.          7.33333333] [19.66666667 27.        ]],1e-09
3,5,0.6931128409237669,0.7215956171888376,[[34.          7.33333333] [19.66666667 27.        ]],1e-08
3,5,0.696944258548288,0.7216171399222246,[[34.          7.33333333] [19.33333333 27.33333333]],1e-07
